dataset_dir,field,reason,recommendation
keijzer/Keijzer-1,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-10,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-11,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-12,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-13,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-14,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-15,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-2,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-3,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-4,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-5,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-6,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-7,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-8,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-9,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-1,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-10,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-11,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-12,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-2,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-3,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-4,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-5,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-6,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-7,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-8,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-9,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-1,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-10,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-11,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-12,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-2,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-3,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-4,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-5,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-6,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-7,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-8,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-9,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/1028_SWD,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/1028_SWD,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/1028_SWD,features.In1.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In2.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In3.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In4.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In5.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In6.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In7.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In8.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In9.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1028_SWD,features.In10.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1089_USCrime,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/1089_USCrime,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/1193_BNG_lowbwt,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/1193_BNG_lowbwt,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/1193_BNG_lowbwt,features.LOW.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1193_BNG_lowbwt,features.AGE.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1193_BNG_lowbwt,features.LWT.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1193_BNG_lowbwt,features.RACE.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1193_BNG_lowbwt,features.SMOKE.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1193_BNG_lowbwt,features.PTL.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1193_BNG_lowbwt,features.HT.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1193_BNG_lowbwt,features.UI.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1193_BNG_lowbwt,features.FTV.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/1199_BNG_echoMonths,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/1199_BNG_echoMonths,features.still_alive.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,features.age.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,features.pericardial.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,features.fractional.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,features.epss.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,features.lvdd.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,features.wall_score.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,features.wall_index.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/1199_BNG_echoMonths,features.alive_at_1.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/192_vineyard,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/192_vineyard,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/210_cloud,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/210_cloud,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/210_cloud,features.seeded.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/210_cloud,features.season.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/210_cloud,features.NC.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/210_cloud,features.SC.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/210_cloud,features.NWC.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/522_pm10,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/522_pm10,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/522_pm10,features.cars_per_hour.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/522_pm10,features.temperature_at_2m.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/522_pm10,features.wind_speed.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/522_pm10,features.temperature_diff_2m_25m.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/522_pm10,features.wind_direction.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/522_pm10,features.hour_of_day.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/522_pm10,features.day.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/557_analcatdata_apnea1,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/557_analcatdata_apnea1,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/557_analcatdata_apnea1,features.Scorer_1.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/557_analcatdata_apnea1,features.Scorer_2.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/557_analcatdata_apnea1,features.Subject.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/579_fri_c0_250_5,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/579_fri_c0_250_5,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/blackbox/579_fri_c0_250_5,features.oz1.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/579_fri_c0_250_5,features.oz2.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/579_fri_c0_250_5,features.oz3.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/579_fri_c0_250_5,features.oz4.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/579_fri_c0_250_5,features.oz5.description,feature semantics required,blackbox/真实表格特征不要自动臆造语义
srbench2025/blackbox/606_fri_c2_1000_10,dataset.ground_truth_formula,formula.py missing,不要伪造公式；若为 blackbox，显式标注 blackbox
srbench2025/blackbox/606_fri_c2_1000_10,dataset.citation,semantic attribution required,按来源人工确认引用口径
