dataset_id,global_index,dataset_name,method,host,wave,dataset_identity_status,dataset_identity_trusted,expected_dataset_rel,actual_result_dataset_dir,expected_feature_count,actual_feature_count,result_relpath,source_result_path
g0001,1,feynman-iii.15.12,drsr,iaaccn26,W2,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,5,5,results/W2/drsr/iaaccn26/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn26/drsr/feynman-iii.15.12/result.json
g0001,1,feynman-iii.15.12,dso,iaaccn22,W4,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,5,5,results/W4/dso/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w4_20260424-041046/iaaccn22/dso/feynman-iii.15.12/result.json
g0001,1,feynman-iii.15.12,gplearn,iaaccn22,W1,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,5,5,results/W1/gplearn/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/iaaccn22/gplearn/feynman-iii.15.12/result.json
g0001,1,feynman-iii.15.12,llmsr,iaaccn26,W1,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,5,5,results/W1/llmsr/iaaccn26/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/iaaccn26/llmsr/feynman-iii.15.12/result.json
g0001,1,feynman-iii.15.12,pyoperon,iaaccn22,W2,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,5,5,results/W2/pyoperon/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn22/pyoperon/feynman-iii.15.12/result.json
g0001,1,feynman-iii.15.12,pysr,iaaccn22,W3,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,5,5,results/W3/pysr/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/iaaccn22/pysr/feynman-iii.15.12/result.json
g0001,1,feynman-iii.15.12,tpsr,iaaccn22,W5,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,5,5,results/W5/tpsr/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w5_20260424-041046/iaaccn22/tpsr/feynman-iii.15.12/result.json
g0002,2,feynman-iii.15.14,drsr,iaaccn26,W2,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,3,3,results/W2/drsr/iaaccn26/g0002_feynman-iii.15.14/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn26/drsr/feynman-iii.15.14/result.json
g0002,2,feynman-iii.15.14,dso,iaaccn22,W4,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,3,3,results/W4/dso/iaaccn22/g0002_feynman-iii.15.14/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w4_20260424-041046/iaaccn22/dso/feynman-iii.15.14/result.json
g0002,2,feynman-iii.15.14,gplearn,iaaccn22,W1,exact_match,true,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,3,3,results/W1/gplearn/iaaccn22/g0002_feynman-iii.15.14/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/iaaccn22/gplearn/feynman-iii.15.14/result.json
