tool,rerun_reason,previous_result_relpath,previous_timeout_type,previous_identity_status,previous_error,global_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn22/g0003_feynman-ii.11.20/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",3,feynman-ii.11.20,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,feynman-ii.11.20,A,strict,llmsr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn22/g0026_feynman-bonus.4/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",26,feynman-bonus.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4,srsd,srsd/srsd-feynman_hard,feynman-bonus.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn23/g0033_feynman-iii.4.33/result.json,unvalidated_expression,exact_match,"ValueError('表达式变量索引越界: x4, 输入维度=2')",33,feynman-iii.4.33,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,srsd,srsd/srsd-feynman_hard,feynman-iii.4.33,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn23/g0034_feynman-iii.4.33/result.json,unvalidated_expression,wrong_dataset_collision,"ValueError('表达式变量索引越界: x4, 输入维度=2')",34,feynman-iii.4.33,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,srsd,srsd/srsd-feynman_hard_dummy,feynman-iii.4.33,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn23/g0054_feynman_II_2_42/result.json,partial_output,exact_match,"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",54,feynman_II_2_42,/home/zhangziwen/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,srbench1.0,srbench1.0/feynman,feynman_II_2_42,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/train.csv,/home/zhangziwen/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/valid.csv,/home/zhangziwen/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/id_test.csv,/home/zhangziwen/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/ood_test.csv,/home/zhangziwen/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/metadata.yaml,/home/zhangziwen/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn24/g0072_feynman-i.43.31/result.json,unvalidated_expression,exact_match,"ValueError('表达式变量索引越界: x2, 输入维度=2')",72,feynman-i.43.31,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,srsd,srsd/srsd-feynman_medium,feynman-i.43.31,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn24/g0073_feynman-i.43.31/result.json,unvalidated_expression,wrong_dataset_collision,"ValueError('表达式变量索引越界: x2, 输入维度=2')",73,feynman-i.43.31,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,srsd,srsd/srsd-feynman_medium_dummy,feynman-i.43.31,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn25/g0092_strogatz_glider2/result.json,partial_output,exact_match,"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",92,strogatz_glider2,/home/zhangziwen/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2,sim-datasets-data/srbench1.0/strogatz/strogatz_glider2,srbench1.0,srbench1.0/strogatz,strogatz_glider2,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/train.csv,/home/zhangziwen/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/valid.csv,/home/zhangziwen/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/id_test.csv,/home/zhangziwen/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/ood_test.csv,/home/zhangziwen/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/metadata.yaml,/home/zhangziwen/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn26/g0130_Keijzer-10/result.json,not_timeout,exact_match,,130,Keijzer-10,/home/zhangziwen/sim-datasets-data/keijzer/Keijzer-10,sim-datasets-data/keijzer/Keijzer-10,keijzer,keijzer,Keijzer-10,A,strict,llmsr,/home/zhangziwen/sim-datasets-data/keijzer/Keijzer-10/train.csv,/home/zhangziwen/sim-datasets-data/keijzer/Keijzer-10/valid.csv,/home/zhangziwen/sim-datasets-data/keijzer/Keijzer-10/id_test.csv,/home/zhangziwen/sim-datasets-data/keijzer/Keijzer-10/ood_test.csv,/home/zhangziwen/sim-datasets-data/keijzer/Keijzer-10/metadata.yaml,/home/zhangziwen/sim-datasets-data/keijzer/Keijzer-10/formula.py
dso,e1_repair_remaining_20260426,results/W4/dso/iaaccn26/g0136_I.24.6_3_1/result.json,partial_output,exact_match,"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",136,I.24.6_3_1,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1,llm-srbench,llm-srbench/lsrtransform,I.24.6_3_1,A,relaxed,llmsr,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/train.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/valid.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/id_test.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/ood_test.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/metadata.yaml,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1/formula.py
