dataset_dir,field,reason,recommendation
keijzer/Keijzer-1,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-10,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-12,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-15,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-2,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-7,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-1,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-11,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-12,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-2,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-3,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-4,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-5,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-8,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-9,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-11,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-5,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-6,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-7,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-8,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-9,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_kepler,splits.valid.nmse,zero target variance with nonzero formula error,人工确认该 split 是否应记录 NMSE；单样本且目标方差为 0 时 NMSE 不可定义
srbench2025/firstprinciples/first_principles_kepler,splits.id_test.nmse,zero target variance with nonzero formula error,人工确认该 split 是否应记录 NMSE；单样本且目标方差为 0 时 NMSE 不可定义
srbench2025/firstprinciples/first_principles_kepler,splits.ood_test.nmse,zero target variance with nonzero formula error,人工确认该 split 是否应记录 NMSE；单样本且目标方差为 0 时 NMSE 不可定义
srbench2025/firstprinciples/first_principles_kepler,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_leavitt,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_newton,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_planck,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_rydberg,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_tully_fisher,dataset.citation,semantic attribution required,按来源人工确认引用口径
